feature_set,model,n_qm_features,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,f1_mean,mcc_mean,brier_mean,log_loss_mean
E_microstate_conformer_184,Microstate + conformers,184,0.8084443636950903,0.0101820814335849,0.7293055055065506,0.0168732946321644,0.6960849531588605,0.4581391307293548,0.1786494239733694,0.5320896081318869
D_microstate_summary_56,Microstate summary,56,0.8072109173126615,0.0119810942236199,0.7256887921660413,0.0170735301831916,0.6973347745731828,0.4604096138518685,0.1790201913340944,0.5329979741121085
C_parent_11,Parent excited-state,11,0.7922743055555556,0.0120020644009544,0.7159912933687378,0.0204540098961205,0.6437248274050477,0.4028405644282119,0.1873733507174068,0.5522520282944402
A_structure_only,Structure only,0,0.7445877745478036,0.0180262048857553,0.6676023455729527,0.0270589696252925,0.5850362669819541,0.3256858820371943,0.2013714988129615,0.5828734843216506
E_shuffled_microstate_184,Shuffled 184-feature control,184,0.7371547965116279,0.0154667982936457,0.6564161352707567,0.0258958699032764,0.5779637284085348,0.3205679808061137,0.204077024242617,0.5897166865401067
D_shuffled_microstate_56,Shuffled 56-feature control,56,0.7364603520671835,0.0188457429053676,0.657816805205804,0.0262906624071159,0.5779385900691508,0.3212861864658016,0.2042740692411965,0.5902788099341045
